Kanji,Hiragana,English,Origin,Difficulty,Category
横,よこ,"Aside, next to ",Duolingo 2.1,1,Noun - Location
旅している,たびしている,To take a trip (continuous form),Duolingo 2.1,1,Verb - suru
海外,かいがい,Overseas,Duolingo 2.1,1,Noun - Location
半分,はんぶん,Half,Duolingo 2.2,1,Noun - Concept
本当,ほんとう,Very,Duolingo 2.2,2,Adjective - な
色,いろ,Color,Duolingo 2.2,1,Noun - Color
赤い,あかい,Red,Duolingo 2.2,1,Noun - Color
青い,あおい,Blue,Duolingo 2.2,1,Noun - Color
白い,しろい,White,Duolingo 2.2,1,Noun - Color
黄色い,きいろい,Yellow,Duolingo 2.2,1,Noun - Color
黒い,くろい,Black,Duolingo 2.2,2,Noun - Color
茶色,ちゃいろ,Brown,Duolingo 2.2,1,Noun - Color
冬,ふゆ,Winter,Duolingo 2.2,1,Noun - Season
春,はる,Spring,Duolingo 2.2,1,Noun - Season
夏,なつ,Summer,Duolingo 2.2,1,Noun - Season
秋,あき,Autumn,Duolingo 2.2,1,Noun - Season
北,きた,North,Duolingo 2.2,1,Noun - Location
東,ひがし,East,Duolingo 2.2,1,Noun - Location
南,みなみ,South,Duolingo 2.2,1,Noun - Location
西,にし,West,Duolingo 2.2,2,Noun - Location
北東,ほくとう,Northeast,Duolingo 2.2,1,Noun - Location
雪,ゆき,Snow,Duolingo 2.2,1,Noun - Object
雨,あめ,Rain,Duolingo 2.2,1,Noun - Object
空,そら,Sky,Duolingo 2.2,1,Noun - Object
風,かぜ,Wind,Duolingo 2.2,1,Noun - Object
今朝,けさ,This morning,Duolingo 2.2,1,Noun - Time
今夜,こんや,This evening,Duolingo 2.2,2,Noun - Time
夕べ,ゆうべ,Last night,Duolingo 2.2,2,Noun - Time
夕方,ゆうがた,Evening,Duolingo 2.2,2,Noun - Concept
昼間,ひるま,Daytime,Duolingo 2.2,1,Noun - Concept
地下鉄,ちかてつ,"Subway, metro",Duolingo 2.2,1,Noun - Object
自転車,じてんしゃ,Bicycle,Duolingo 2.2,1,Noun - Object
飛行機,ひこうき,Airplane,Duolingo 2.2,1,Noun - Object
空港,くうこう,Airport,Duolingo 2.2,2,Noun - Place
駅,えき,Station,Duolingo 2.2,1,Noun - Place
映画館,えいがかん,Movie theater,Duolingo 2.2,1,Noun - Place
建物,たてもの,Building,Duolingo 2.2,2,Noun - Place
銀行,ぎんこう,Bank,Duolingo 2.2,2,Noun - Place
店,みせ,Store,Duolingo 2.2,1,Noun - Place
鉄,てつ,Iron,Duolingo 2.2,2,Noun - Object
地図,ちず,Map,Duolingo 2.2,1,Noun - Object
入り口,いりぐち,Entrance,Duolingo 2.2,1,Noun - Object
出口,でぐち,Exit,Duolingo 2.2,1,Noun - Object
道,みち,Road,Duolingo 2.2,3,Noun - Object
通り,とおり,Road,Duolingo 2.2,1,Noun - Object
角,かど,Corner,Duolingo 2.2,1,Noun - Object
服,ふく,Clothes,Duolingo 2.2,1,Noun - Object
靴,くつ,Shoes,Duolingo 2.2,1,Noun - Object
帽子,ぼうし,Hat,Duolingo 2.2,1,Noun - Object
電話,でんわ,Phone,Duolingo 2.2,1,Noun - Object
新聞,しんぶん,Newspaper,Duolingo 2.2,1,Noun - Object
番号,ばんごう,Number,Duolingo 2.2,1,Noun - Concept
電話番号,でんわばんごう,Phone number,Duolingo 2.2,1,Noun - Concept
夕飯,ゆうはん,Dinner,Duolingo 2.2,2,Noun - Food
弁当,べんと,"Bento, lunchbox",Duolingo 2.2,1,Noun - Food
塩,しお,Salt,Duolingo 2.2,1,Noun - Food
砂糖,さとう,Sugar,Duolingo 2.2,1,Noun - Food
醬油,しょうゆ,Soy sauce,Duolingo 2.2,1,Noun - Food
牛乳,ぎゅうにゅう,Milk,Duolingo 2.2,1,Noun - Food
紅茶,こうちゃ,Black tea,Duolingo 2.2,2,Noun - Food
お腹,おなか,Stomach,Duolingo 2.2,2,Noun - Object
皿,さら,Plate,Duolingo 2.2,1,Noun - Food
箸,はし,Chopstick,Duolingo 2.2,1,Noun - Food
寿司,すし,Sushi ,Duolingo 2.2,1,Noun - Food
茶碗,ちゃわん,Rice bowl,Duolingo 2.2,1,Noun - Food
好物,こうぶつ,Favorite food,Duolingo 2.2,2,Noun - Food
来週,らいしゅう,Next week,Duolingo 2.2,1,Noun - Date
再来週,さらいしゅう,The week after next,Duolingo 2.2,2,Noun - Date
今月,こんげつ,This month,Duolingo 2.2,1,Noun - Date
再来月,さらいげつ,The month after next,Duolingo 2.2,1,Noun - Date
脱ぐ,ぬぐ,To take off ,Duolingo 2.2,1,Verb - Godan
洗う,あらう,"To clean, wash",Duolingo 2.2,1,Verb - Godan
歩く,あるく,To walk,Duolingo 2.2,1,Verb - Godan
弾く,ひく,To play (instrument),Duolingo 2.2,1,Verb - Godan
作る,つくる,To make,Duolingo 2.2,1,Verb - Godan
降る,ふる,To fall ,Duolingo 2.2,2,Verb - Godan
吹く,ふく,To blow,Duolingo 2.2,1,Verb - Godan
進む,すすむ,"To advance, go forward",Duolingo 2.2,2,Verb - Godan
曲がる,まがる,To turn,Duolingo 2.2,2,Verb - Godan
お腹が空く,おなかがすく,To become hungry,Duolingo 2.2,3,Verb - Godan
出る,でる,To exit,Duolingo 2.2,1,Verb - Ichidan
通る,とおる,To go past,Duolingo 2.2,2,Verb - Ichidan
食べ過ぎる,たべすぎる,To overeat,Duolingo 2.2,3,Verb - Ichidan
